,,,,start,end,ampl. [pA],,dwell time [ms],freq.,interevent interval,,,,N1,,tau1,,N2,,tau2,,N3,,tau3,,N4,,tau4,,,Burst analysis,ev./burst,start,end,duration [ms],mean intraburst interval [ms],,frequency [Hz],,open duration mean [ms],,openings,closures,,,,,,,,,,,,,,,,,
1,1,0,A,864.5,866.5,-0.067095,0.230324,2,202.020203,4.95,,,,,,,,,,,,,,,,,,,,,,2,1632.650269,1636.200195,3.549927,1.799927,0,555.578186,0,1.675,2.373552,3.35,1.799927,,,,,,,,,,,,,,,,,
1,1,1,A,866.5,866.849976,1.412185,0.127201,0.35,147.058823,6.8,,,,,,,,,,,,,,,,,,,,,,2,1647.750244,1650.750244,2.999998,2.850098,0,350.865173,0,0.54995,1.115818,1.0999,2.850098,,,,,,,,,,,,,,,,,
1,1,0,A,866.849976,873.099976,0.153512,0.241696,6.25,425.531921,2.35,,,,,,,,,,,,,,,,,,,,,,3,1654.250244,1661.250244,7.000024,2.075012,2.968824,487.660522,697.720398,2.15,6.077314,6.45,4.150024,,,,,,,,,,,,,,,,,
1,1,1,A,873.099976,877.849976,2.206786,0.454482,4.75,151.515152,6.6,,,,,,,,,,,,,,,,,,,,,,2,1671.450195,1675.000122,3.549976,2.099976,0,476.196014,0,1.35,1.919635,2.7,2.099976,,,,,,,,,,,,,,,,,
1,1,0,A,877.849976,878.200012,0.159448,0.059281,0.35,90.909088,11,,,,,,,,,,,,,,,,,,,,,,1,1678.150146,1678.500122,0.35,0,0,0,0,0.35,0,0.35,0,,,,,,,,,,,,,,,,,
1,1,1,A,878.200012,878.549988,1.702126,0.198997,0.35,196.07843,5.1,,,,,,,,,,,,,,,,,,,,,,3,1695.200073,1698.35022,3.150173,0.850037,1.443955,1510.930298,2566.614258,0.833367,2.687772,2.500101,1.700074,,,,,,,,,,,,,,,,,
1,1,0,A,878.549988,879,0.082253,0.119105,0.45,1428.571411,0.7,,,,,,,,,,,,,,,,,,,,,,3,1704.10022,1708.500122,4.399951,1.599976,2.561196,727.277771,1164.205933,0.833267,2.704204,2.499801,3.199952,,,,,,,,,,,,,,,,,
1,1,1,A,879,879.599976,2.22409,0.309065,0.6,1250,0.8,,,,,,,,,,,,,,,,,,,,,,2,1710.750122,1715.550171,4.800025,2.400024,0,416.662415,0,2.25005,3.196152,4.5001,2.400024,,,,,,,,,,,,,,,,,
1,1,0,A,879.599976,880.099976,0.518411,0.153909,0.5,952.380981,1.05,,,,,,,,,,,,,,,,,,,,,,4,1732.650146,1739.600098,6.95,2.25,6.794997,515.963989,1500.841309,1.174975,6.890321,4.6999,6.75,,,,,,,,,,,,,,,,,
1,1,1,A,880.099976,880.5,2.098224,0.086944,0.4,909.090881,1.1,,,,,,,,,,,,,,,,,,,,,,4,1744.949951,1752.099976,7.150024,2.133342,7.449624,736.299194,2328.163574,1.462475,8.408026,5.8499,6.400026,,,,,,,,,,,,,,,,,
1,1,0,A,880.5,880.799988,0.32973,0.129475,0.3,1111.111084,0.9,,,,,,,,,,,,,,,,,,,,,,4,1756.349976,1762.64978,6.299853,1.033285,3.010427,1129.232666,3420.905762,1.32505,6.782353,5.3002,3.099855,,,,,,,,,,,,,,,,,
1,1,1,A,880.799988,881.549988,2.023274,0.369487,0.75,1428.571411,0.7,,,,,,,,,,,,,,,,,,,,,,2,1767.14978,1769.39978,2.250049,1.800049,0,555.540466,0,0.625,0.950658,1.25,1.800049,,,,,,,,,,,,,,,,,
