Trace,Search,Level,State,Event St.,Event end,Amplitud,Amp. SD,Dwell Time,Inst. Freq,Interval
1,1,0,A,10803.48047,10804.32031,-0.064531,0.172188,0.8397,3322.259033,0.301
1,1,1,A,10804.32031,10808.28027,3.199953,0.324221,3.96,951.74646,1.0507
1,1,0,AB,10808.28027,10808.37012,0.843343,0,0.0899,208.346359,4.7997
1,1,1,A,10808.37012,10811.61035,3.282002,0.286593,3.2404,246.919678,4.0499
1,1,0,A,10811.61035,10813.53027,-0.053254,0.179716,1.9197,300.273254,3.3303
1,1,1,A,10813.53027,10824.71973,3.03571,0.318865,11.1893,193.794693,5.1601
1,1,0,A,10824.71973,10830.15039,-0.030872,0.1939,5.431,76.28347,13.109
1,1,1,A,10830.15039,10838.19043,3.125493,0.362438,8.04,60.167385,16.6203
1,1,0,A,10838.19043,10839.24023,0.027521,0.226449,1.0497,74.233536,13.471
1,1,1,A,10839.24023,10839.69043,2.923578,0.384092,0.4503,110.014633,9.0897
1,1,0,A,10839.69043,10839.83984,0.387512,0,0.1495,666.666687,1.5
1,1,1,A,10839.83984,10841.12988,3.115067,0.231563,1.29,1667.222412,0.5998
1,1,0,A,10841.12988,10842.78027,-0.059193,0.220492,1.6502,694.685669,1.4395
1,1,1,A,10842.78027,10842.99023,3.304276,0.071691,0.21,340.112915,2.9402
1,1,0,A,10842.99023,10844.54981,0.009128,0.181398,1.5598,537.576599,1.8602
1,1,1,A,10844.54981,10844.73047,3.218555,0.137244,0.1805,565.035583,1.7698
1,1,0,AB,10844.73047,10844.79004,0.946217,0,0.0595,574.613586,1.7403
1,1,1,A,10844.79004,10846.58984,3.144049,0.265551,1.8,4166.666504,0.24
1,1,0,A,10846.58984,10847.12988,0.048477,0.091715,0.54,537.778992,1.8595
1,1,1,A,10847.12988,10852.25977,3.250612,0.284877,5.13,427.350433,2.34
1,1,0,A,10852.25977,10852.46973,-0.020232,0.199706,0.2095,176.366837,5.67
1,1,1,A,10852.46973,10852.65039,2.960256,0.05179,0.181,187.283447,5.3395
1,1,0,A,10852.65039,10852.91992,0.222829,0.086225,0.2695,2560.81958,0.3905
1,1,1,A,10852.91992,10853.33984,2.949828,0.18738,0.42,2219.755859,0.4505
1,1,0,A,10853.33984,10853.49023,0.30078,0,0.1502,1450.326294,0.6895
1,1,1,A,10853.49023,10855.04981,3.181623,0.317454,1.5598,1753.77063,0.5702
1,1,0,A,10855.04981,10855.34961,0.077617,0.078809,0.2995,584.795349,1.71
1,1,1,A,10855.34961,10855.67969,2.939927,0.217431,0.33,537.836792,1.8593
1,1,0,A,10855.67969,10856.96973,-0.06286,0.224866,1.29,1588.562378,0.6295
1,1,1,A,10856.96973,10860.08984,3.177906,0.354282,3.1205,617.283936,1.62
1,1,0,A,10860.08984,10860.87012,-0.016235,0.16921,0.7801,226.731659,4.4105
1,1,1,A,10860.87012,10869.24023,3.174909,0.279958,8.3701,256.370819,3.9006
1,1,0,A,10869.24023,10869.59961,0.19283,0.069431,0.3593,109.287231,9.1502
1,1,1,A,10869.59961,10873.2002,3.188894,0.273171,3.6007,114.555412,8.7294
1,1,0,AB,10873.2002,10873.25977,1.007319,0,0.0598,252.525253,3.96
1,1,1,A,10873.25977,10876.65039,3.162823,0.30696,3.3905,273.186737,3.6605
1,1,0,A,10876.65039,10877.04004,0.085417,0.176802,0.3895,289.829865,3.4503
1,1,1,A,10877.04004,10878.57031,3.254276,0.240668,1.5302,264.550262,3.78
1,1,0,A,10878.57031,10879.25977,-0.122171,0.16649,0.6898,520.914734,1.9197
1,1,1,A,10879.25977,10882.65039,3.041153,0.315135,3.3905,450.450439,2.22
